key	domain	es_mx	pt_br
question.6.opt.B.text	question	Investigo la tasa, CAT, anualidad y comparo con otras opciones	Pesquiso a taxa, CET, anuidade e comparo com outras opções
question.6.opt.C.text	question	No la quiero, las tarjetas de crédito te endeudan	Não quero, cartões de crédito te endividam
question.6.opt.D.text	question	Le pregunto a alguien de mi familia si es buena idea	Pergunto a alguém da minha família se é boa ideia
question.7.prompt	question	Ves un anuncio en Instagram de un curso de trading con testimonios de gente que "ya vive de esto". Cuesta $3,000 MXN.	Você vê um anúncio no Instagram de um curso de trading com depoimentos de pessoas que "já vivem disso". Custa R$ 900.
question.7.opt.A.text	question	Si tanta gente lo recomienda, algo bueno debe tener, me inscribo	Se tanta gente recomenda, algo de bom deve ter, me inscrevo
question.7.opt.B.text	question	Busco reseñas independientes, reviso el temario y al instructor antes de pagar	Busco avaliações independentes, revejo o currículo e o instrutor antes de pagar
question.7.opt.C.text	question	Me llama la atención pero $3,000 es mucho, mejor no arriesgo	Chama minha atenção, mas R$ 900 é muito, melhor não arriscar
question.7.opt.D.text	question	Me inscribo ya, si no funciona al menos aprendí algo	Me inscrevo já, se não funcionar ao menos aprendi algo
question.8.prompt	question	Recibes tu primer aguinaldo de unas prácticas profesionales: $8,000 MXN. Es dinero que no esperabas.	Você recebe seu primeiro décimo terceiro de um estágio: R$ 2.500. É um dinheiro que não esperava.
question.8.opt.A.text	question	Lo meto todo a algo agresivo — acciones, cripto — total es dinero extra	Coloco tudo em algo agressivo — ações, cripto — afinal é dinheiro extra
question.8.opt.B.text	question	Lo dejo en mi cuenta de ahorro, así sé que está seguro	Deixo na minha conta poupança, assim sei que está seguro
question.8.opt.C.text	question	Pregunto en casa o a un profe de finanzas qué sería lo más inteligente	Pergunto em casa ou a um professor de finanças o que seria mais inteligente
question.8.opt.D.text	question	Comparo rendimientos de Cetesdirecto, SOFIPOS y fondos	Comparo rendimentos de Cetesdirecto, SOFIPOS e fundos
question.9.prompt	question	Estás por graduarte. Tienes una oferta de trabajo estable con buen sueldo, pero también una idea de negocio que te apasiona.	Você está prestes a se formar. Tem uma oferta de emprego estável com bom salário, mas também uma ideia de negócio que te apaixona.
question.9.opt.A.text	question	Analizo ambas opciones a fondo: proyecciones, costos, mercado, y decido con datos	Analiso as duas opções a fundo: projeções, custos, mercado, e decido com dados
question.9.opt.B.text	question	Le entro al negocio, la vida es una y no quiero arrepentirme de no intentarlo	Entro no negócio, a vida é uma só e não quero me arrepender de não tentar
question.9.opt.C.text	question	Tomo el empleo seguro, necesito estabilidad	Fico com o emprego seguro, preciso de estabilidade
question.9.opt.D.text	question	Hablo con gente que admiro profesionalmente y sigo el consejo que más se repita	Converso com pessoas que admiro profissionalmente e sigo o conselho que mais se repetir
question.10.prompt	question	Un compañero de clase te muestra una app donde inviertes desde $100 MXN. Te enseña que lleva 15% de rendimiento en 3 meses.	Um colega de aula te mostra um app onde você investe a partir de R$ 30. Ele te mostra que está com 15% de rendimento em 3 meses.
question.10.opt.A.text	question	Meto un poco a ver qué pasa, total es poco dinero	Coloco um pouco para ver o que acontece, afinal é pouco dinheiro
question.10.opt.B.text	question	Descargo la app, reviso quién la regula, leo los términos, y luego decido	Baixo o app, verifico quem o regulamenta, leio os termos e depois decido
question.10.opt.C.text	question	Suena bien pero mejor espero, no me gusta meter dinero en cosas nuevas	Parece bom, mas prefiro esperar — não gosto de colocar dinheiro em coisas novas
question.10.opt.D.text	question	Si a mi compañero le está funcionando, le entro con lo mismo que él	Se está funcionando para o meu colega, entro com o mesmo valor que ele
question.11.prompt	question	Recibes una herencia inesperada de $200,000 MXN. No tienes deudas.	Você recebe uma herança inesperada de R$ 60.000. Não tem dívidas.
question.11.opt.A.text	question	Lo divido en diferentes instrumentos de mayor riesgo para hacer crecer el capital	Divido em diferentes instrumentos de maior risco para fazer o capital crescer
question.11.opt.B.text	question	Construyo un portafolio diversificado basado en mi horizonte de inversión y perfil	Monto um portfólio diversificado com base no meu horizonte de investimento e perfil
question.11.opt.C.text	question	Lo meto a una cuenta de ahorro de alta seguridad, no quiero arriesgar nada	Coloco em uma conta poupança de alta segurança, não quero arriscar nada
question.11.opt.D.text	question	Le pido consejo a mi asesor bancario o a alguien de confianza	Peço conselho ao meu assessor bancário ou a alguém de confiança
question.12.prompt	question	El mercado de valores cayó 30% en 3 meses. Tus amigos dicen que es hora de comprar más.	O mercado de ações caiu 30% em 3 meses. Seus amigos dizem que é hora de comprar mais.
question.12.opt.A.text	question	Si todos los que conozco están comprando, quizás tienen razón	Se todos que conheço estão comprando, talvez eles estejam certos
question.12.opt.B.text	question	Analizo si la valuación actual representa una oportunidad real basado en fundamentos	Analiso se a avaliação atual representa uma oportunidade real com base nos fundamentos
question.12.opt.C.text	question	Este nivel de incertidumbre me paraliza, prefiero esperar a que se estabilice	Esse nível de incerteza me paralisa, prefiro esperar até estabilizar
question.12.opt.D.text	question	Compro agresivamente, las caídas son oportunidades y hay que actuar rápido	Compro agressivamente, quedas são oportunidades e é preciso agir rápido
question.13.prompt	question	Debes elegir entre dos fondos de inversión. Fondo A: rendimiento promedio 8%, bajo riesgo. Fondo B: rendimiento promedio 15%, alto riesgo.	Você deve escolher entre dois fundos de investimento. Fundo A: rendimento médio de 8%, baixo risco. Fundo B: rendimento médio de 15%, alto risco.
question.13.opt.A.text	question	El Fondo B sin dudarlo, quiero maximizar mi rendimiento	O Fundo B sem dúvida, quero maximizar meu rendimento
question.13.opt.B.text	question	Analizo la desviación estándar, el Sharpe ratio y el horizonte de cada opción	Analiso o desvio padrão, o índice Sharpe e o horizonte de cada opção
question.13.opt.C.text	question	El Fondo A definitivamente, no quiero perder lo que tengo	O Fundo A com certeza, não quero perder o que tenho
question.13.opt.D.text	question	Le pregunto a mi banco o a alguien de confianza cuál recomienda	Pergunto ao meu banco ou a alguém de confiança qual recomendam
question.14.prompt	question	Tienes una inversión en acciones que ha bajado 40% desde que la compraste.	Você tem um investimento em ações que caiu 40% desde que comprou.
question.14.opt.A.text	question	La mantengo y compro más, estoy seguro de que se va a recuperar	Mantenho e compro mais, tenho certeza de que vai se recuperar
question.14.opt.B.text	question	Evalúo en frío si los fundamentos cambiaron y decido sin importar mi precio de entrada	Avalio de forma racional se os fundamentos mudaram e decido sem levar em conta meu preço de entrada
question.14.opt.C.text	question	La mantengo pero no compro más, no soporto hacer realidad la pérdida vendiéndola	Mantenho, mas não compro mais — não consigo assumir a perda vendendo
question.14.opt.D.text	question	Le pregunto a un broker o analista qué hacer con esta posición	Pergunto a um broker ou analista o que fazer com essa posição
question.15.prompt	question	Ves que una acción que te gusta está cara según su P/E ratio histórico, pero todos los analistas dicen que va a subir más.	Você vê que uma ação que gosta está cara segundo seu P/E ratio histórico, mas todos os analistas dizem que vai subir mais.
question.15.opt.A.text	question	Si todos los analistas están optimistas, compro sin esperar	Se todos os analistas estão otimistas, compro sem esperar
question.15.opt.B.text	question	Construyo mi propio modelo de valuación independiente antes de decidir	Construo meu próprio modelo de avaliação independente antes de decidir
question.15.opt.C.text	question	Si está cara según los fundamentos, mejor no entro	Se está cara segundo os fundamentos, melhor não entro
question.15.opt.D.text	question	Compro ahora, el momentum puede durar más tiempo del esperado	Compro agora, o momentum pode durar mais tempo do que o esperado
question.16.prompt	question	Tienes que decidir cuánto de tu portafolio poner en activos internacionales vs. México.	Você precisa decidir quanto do seu portfólio colocar em ativos internacionais vs. Brasil.
question.16.opt.A.text	question	La mayoría en México, conozco mejor el mercado local	A maioria no Brasil, conheço melhor o mercado local
question.16.opt.B.text	question	Analizo correlaciones, diversificación y expectativas macroeconómicas de cada región	Analiso correlações, diversificação e expectativas macroeconômicas de cada região
question.16.opt.C.text	question	50% internacional, hay que seguir la tendencia global que todos siguen	50% internacional, há que seguir a tendência global que todos seguem
question.16.opt.D.text	question	Mayoría internacional, quiero exposición agresiva a mercados de alto crecimiento	Maioria internacional, quero exposição agressiva a mercados de alto crescimento
question.17.prompt	question	Tu mejor decisión de inversión te generó 80% de rendimiento. ¿A qué atribuyes ese resultado?	Sua melhor decisão de investimento gerou 80% de rendimento. A que você atribui esse resultado?
question.17.opt.A.text	question	Principalmente a mi análisis y timing — identifiqué bien la oportunidad	Principalmente à minha análise e timing — identifiquei bem a oportunidade
question.17.opt.B.text	question	A mi proceso de investigación, aunque el mercado también ayudó	Ao meu processo de pesquisa, embora o mercado também tenha ajudado
question.17.opt.C.text	question	Tuve suerte, el mercado cooperó más de lo esperado	Tive sorte, o mercado cooperou mais do que o esperado
question.17.opt.D.text	question	Seguí el consejo de alguien que sabía más que yo	Segui o conselho de alguém que sabia mais do que eu
question.18.prompt	question	Tu peor decisión de inversión te hizo perder 50% de tu capital. ¿Qué pasó?	Sua pior decisão de investimento fez você perder 50% do seu capital. O que aconteceu?
question.18.opt.A.text	question	El mercado se comportó de manera imposible de predecir — fue mala suerte	O mercado se comportou de maneira impossível de prever — foi má sorte
question.18.opt.B.text	question	Cometí un error en mi análisis que debo identificar y corregir	Cometi um erro na minha análise que devo identificar e corrigir
question.18.opt.C.text	question	Me dejé llevar por el pánico en el peor momento	Me deixei levar pelo pânico no pior momento
question.18.opt.D.text	question	Seguí el consejo equivocado de alguien en quien confié	Segui o conselho errado de alguém em quem confiei
question.19.prompt	question	Estás construyendo tu plan de retiro. Tienes 30 años por delante.	Você está construindo seu plano de aposentadoria. Tem 30 anos pela frente.
question.19.opt.A.text	question	Portafolio 80% renta variable, 20% fija — hay tiempo para recuperar pérdidas	Portfólio 80% renda variável, 20% fixa — há tempo para recuperar perdas
question.19.opt.B.text	question	Portafolio optimizado basado en curva de riesgo decreciente con la edad	Portfólio otimizado com base na curva de risco decrescente com a idade
question.19.opt.C.text	question	Portafolio conservador desde el inicio, no quiero sorpresas	Portfólio conservador desde o início, não quero surpresas
question.19.opt.D.text	question	Copio la estrategia de algún fondo de pensiones reconocido	Copio a estratégia de algum fundo de pensão reconhecido
question.20.prompt	question	Simulador de inversión en clase: te dan $100,000 virtuales para un mes. ¿Tu estrategia?	Simulador de investimento em aula: você recebe R$ 30.000 virtuais para um mês. Qual é a sua estratégia?
question.20.opt.A.text	question	Diseño un portafolio diversificado con fundamentals, como si fuera dinero real	Monto um portfólio diversificado com fundamentals, como se fosse dinheiro real
question.20.opt.B.text	question	Le meto la mayor parte a las acciones más volátiles, es simulado y quiero ganar	Coloco a maior parte nas ações mais voláteis, é simulado e quero ganhar
question.20.opt.C.text	question	Copio la estrategia de algún fondo reconocido o de lo que el profesor sugirió	Copio a estratégia de algum fundo reconhecido ou do que o professor sugeriu
question.20.opt.D.text	question	Pongo casi todo en instrumentos seguros como Cetes, no quiero ver números rojos	Coloco quase tudo em instrumentos seguros como Cetes, não quero ver números no vermelho
sesgo.contabilidad-mental.name	sesgo	Contabilidad Mental	Contabilidade Mental
sesgo.contabilidad-mental.definition	sesgo	Tratamos sumas de dinero de manera diferente dependiendo de su origen o uso previsto, ignorando que el dinero es fungible.	Tratamos quantias de dinheiro de forma diferente dependendo de sua origem ou uso previsto, ignorando que o dinheiro é fungível.
sesgo.contabilidad-mental.description	sesgo	La Contabilidad Mental es un sesgo cognitivo descrito por Richard Thaler (Premio Nobel) en el que creamos "cuentas mentales" separadas para el dinero según su fuente o destino previsto. Esto nos lleva a tomar decisiones irracionales porque ignoramos el principio de fungibilidad: un peso es un peso, sin importar de dónde venga.	A Contabilidade Mental é um viés cognitivo descrito por Richard Thaler (Prêmio Nobel) no qual criamos "contas mentais" separadas para o dinheiro conforme sua fonte ou destino previsto. Isso nos leva a tomar decisões irracionais porque ignoramos o princípio da fungibilidade: um real é um real, independentemente de onde venha.
sesgo.contabilidad-mental.mechanism	sesgo	Nuestro Sistema 1 (Kahneman) segrega el dinero en compartimentos psicológicos: el dinero del trabajo es "sagrado", el dinero de la lotería es "para gastar", el dinero del bono es "extra". Esta segmentación viola la lógica económica básica.	Nosso Sistema 1 (Kahneman) segrega o dinheiro em compartimentos psicológicos: o dinheiro do trabalho é "sagrado", o dinheiro da loteria é "para gastar", o dinheiro do bônus é "extra". Essa segmentação viola a lógica econômica básica.
sesgo.contabilidad-mental.trapQuestion	sesgo	Imagina dos situaciones: (A) Vas al cine, pierdes un billete de $200 en la calle. ¿Compras la entrada? / (B) Vas al cine, ya compraste la entrada por $200 y la perdiste. ¿Compras otra? — La mayoría dice Sí a A y No a B. Pero la pérdida económica es idéntica en ambos casos.	Imagine duas situações: (A) Você vai ao cinema, perde uma cédula de R$ 60 na rua. Você compra o ingresso? / (B) Você vai ao cinema, já comprou o ingresso por R$ 60 e o perdeu. Você compra outro? — A maioria responde Sim para A e Não para B. Mas a perda econômica é idêntica nos dois casos.
sesgo.contabilidad-mental.example.0.label	sesgo	Inversión	Investimento
sesgo.contabilidad-mental.example.0.text	sesgo	Un inversor pierde $5,000 en cripto (cuenta de "aventuras") pero guarda intocable su fondo de emergencia. Económicamente son el mismo dinero, pero los trata diferente.	Um investidor perde R$ 1.500 em cripto (conta de "aventuras"), mas mantém intocável seu fundo de emergência. Economicamente é o mesmo dinheiro, mas os trata de forma diferente.
sesgo.contabilidad-mental.example.1.label	sesgo	Vida personal	Vida pessoal
sesgo.contabilidad-mental.example.1.text	sesgo	Gastas sin culpa el dinero de un reembolso de impuestos en algo lujoso, aunque si lo pusieras en tu cuenta normal nunca lo gastarías así.	Você gasta sem culpa o dinheiro de uma restituição de imposto em algo luxuoso, embora se estivesse na sua conta normal nunca gastaria assim.
sesgo.contabilidad-mental.example.2.label	sesgo	Empresa	Empresa
sesgo.contabilidad-mental.example.2.text	sesgo	Una empresa asigna presupuesto por departamento y no lo transfiere aunque otro área lo necesite más urgentemente.	Uma empresa aloca orçamento por departamento e não o transfere mesmo que outra área precise com mais urgência.
sesgo.contabilidad-mental.antidote.0	sesgo	Visualiza todo tu dinero como un único fondo — antes de gastar pregúntate: ¿lo gastaría si viniera de mi nómina?	Visualize todo o seu dinheiro como um único fundo — antes de gastar, pergunte-se: eu gastaria isso se viesse do meu salário?
sesgo.contabilidad-mental.antidote.1	sesgo	Consolida mentalmente tus cuentas: evalúa el portafolio total, no cada inversión en aislado.	Consolide mentalmente suas contas: avalie o portfólio total, não cada investimento isoladamente.
sesgo.contabilidad-mental.antidote.2	sesgo	Regla del "dinero extra": cualquier ingreso inesperado sigue las mismas reglas que tu ingreso normal.	Regra do "dinheiro extra": qualquer receita inesperada segue as mesmas regras que sua renda normal.
sesgo.contabilidad-mental.antidote.3	sesgo	Lleva un registro unificado de ingresos y gastos sin categorías emocionales.	Mantenha um registro unificado de receitas e gastos, sem categorias emocionais.
sesgo.contabilidad-mental.question.0.situation	sesgo	Vas al cine. La entrada cuesta $200. Al llegar, te das cuenta de que perdiste un billete de $200 en la calle. ¿Compras la entrada de todos modos?	Você vai ao cinema. O ingresso custa R$ 60. Ao chegar, percebe que perdeu uma cédula de R$ 60 na rua. Você compra o ingresso mesmo assim?
sesgo.contabilidad-mental.question.0.option.0.text	sesgo	Sí, son cosas separadas — perder el billete no tiene que ver con el cine	Sim, são coisas separadas — perder a cédula não tem relação com o cinema
sesgo.contabilidad-mental.question.0.option.0.reveal	sesgo	Racional: correcto, el dinero es fungible	Racional: correto, o dinheiro é fungível
sesgo.contabilidad-mental.question.0.option.1.text	sesgo	No, ya perdí $200, no puedo gastar $200 más	Não, já perdi R$ 60, não posso gastar mais R$ 60
sesgo.contabilidad-mental.question.0.option.1.reveal	sesgo	Sesgo: tratas las pérdidas como vinculadas cuando no lo están	Viés: você trata as perdas como vinculadas quando não estão
sesgo.contabilidad-mental.question.1.situation	sesgo	Recibes un reembolso de impuestos de $3,000. ¿Cómo lo tratas?	Você recebe uma restituição de imposto de R$ 900. Como você trata esse dinheiro?
sesgo.contabilidad-mental.question.1.option.0.text	sesgo	Como dinero "extra" — me doy un gusto que no me daría con mi sueldo	Como dinheiro "extra" — me dou um prazer que não me daria com meu salário
sesgo.contabilidad-mental.question.1.option.0.reveal	sesgo	Sesgo: el origen del dinero no cambia su valor	Viés: a origem do dinheiro não muda seu valor
sesgo.contabilidad-mental.question.1.option.1.text	sesgo	Igual que cualquier otro ingreso — va a donde más lo necesito	Como qualquer outra renda — vai para onde mais preciso
sesgo.contabilidad-mental.question.1.option.1.reveal	sesgo	Racional: correcto, la fungibilidad aplica independiente del origen	Racional: correto, a fungibilidade se aplica independentemente da origem
sesgo.contabilidad-mental.question.2.situation	sesgo	Tu portafolio tiene: Cetes +5% y una acción -30%. El Cetes venció hoy. ¿Qué haces con esos fondos?	Seu portfólio tem: Tesouro Direto +5% e uma ação -30%. O Tesouro venceu hoje. O que você faz com esses recursos?
sesgo.contabilidad-mental.question.2.option.0.text	sesgo	Los reinvierto en Cetes — no quiero mezclarlos con la acción que perdió	Reinvisto em Tesouro Direto — não quero misturar com a ação que perdeu
sesgo.contabilidad-mental.question.2.option.0.reveal	sesgo	Sesgo: tratas cada inversión como cuenta separada en lugar del portafolio total	Viés: você trata cada investimento como conta separada em vez de analisar o portfólio total
sesgo.contabilidad-mental.question.2.option.1.text	sesgo	Evalúo qué tiene mejor expectativa de retorno ajustado al riesgo hoy	Avalio o que tem melhor expectativa de retorno ajustado ao risco hoje
sesgo.contabilidad-mental.question.2.option.1.reveal	sesgo	Racional: correcto, el portafolio se optimiza en conjunto	Racional: correto, o portfólio se otimiza em conjunto
sesgo.contabilidad-mental.fixation.0.question	sesgo	¿Por qué la contabilidad mental es un sesgo y no un sistema racional?	Por que a contabilidade mental é um viés e não um sistema racional?
sesgo.contabilidad-mental.fixation.0.option.0	sesgo	Porque trata el dinero de forma diferente según su origen, cuando en realidad $1 siempre vale $1	Porque trata o dinheiro de forma diferente conforme sua origem, quando na realidade R$ 1 sempre vale R$ 1
sesgo.contabilidad-mental.fixation.0.option.1	sesgo	Porque hace que gastemos menos de lo que deberíamos	Porque faz com que gastemos menos do que deveríamos
sesgo.contabilidad-mental.fixation.0.option.2	sesgo	Porque solo afecta a personas con poco conocimiento financiero	Porque afeta apenas pessoas com pouco conhecimento financeiro
sesgo.contabilidad-mental.fixation.1.question	sesgo	Ganas $500 en el casino y los gastas en ropa que normalmente no comprarías. ¿Qué sesgo explica esto?	Você ganha R$ 150 no cassino e os gasta em roupas que normalmente não compraria. Que viés explica isso?
sesgo.contabilidad-mental.fixation.1.option.0	sesgo	Contabilidad mental: creaste una cuenta de dinero ganado que sientes libre de gastar	Contabilidade mental: você criou uma conta de dinheiro ganho que sente livre para gastar
sesgo.contabilidad-mental.fixation.1.option.1	sesgo	Exceso de confianza: crees que seguirás ganando	Excesso de confiança: você acredita que continuará ganhando
sesgo.contabilidad-mental.fixation.1.option.2	sesgo	Efecto manada: todos gastan cuando ganan en el casino	Efeito manada: todo mundo gasta quando ganha no cassino
sesgo.contabilidad-mental.fixation.2.question	sesgo	¿Cuál es la implicación financiera más peligrosa de la contabilidad mental?	Qual é a implicação financeira mais perigosa da contabilidade mental?
sesgo.contabilidad-mental.fixation.2.option.0	sesgo	Que podemos tener deudas con intereses altos y ahorros simultáneamente sin ver la contradicción	Que podemos ter dívidas com juros altos e poupança ao mesmo tempo sem perceber a contradição
sesgo.contabilidad-mental.fixation.2.option.1	sesgo	Que nos hace ahorrar demasiado en cuentas separadas	Que nos faz poupar demais em contas separadas
sesgo.contabilidad-mental.fixation.2.option.2	sesgo	Que nos impide invertir en más de un instrumento a la vez	Que nos impede de investir em mais de um instrumento ao mesmo tempo
sesgo.confirmation-bias.name	sesgo	Sesgo de Confirmación	Viés de Confirmação
sesgo.confirmation-bias.definition	sesgo	Buscamos, notamos y recordamos la información que confirma nuestras creencias previas, ignorando la que las contradice.	Buscamos, notamos e lembramos a informação que confirma nossas crenças anteriores, ignorando a que as contradiz.
sesgo.confirmation-bias.description	sesgo	El Sesgo de Confirmación es uno de los sesgos más perniciosos en finanzas. Según el CFA Institute, pertenece a la subcategoría de Perseverancia de Creencias: nos negamos a actualizar nuestras opiniones aunque los datos apunten en otra dirección. No es malicia — es que el Sistema 1 construye historias coherentes, no precisas.	O Viés de Confirmação é um dos vieses mais perniciosos nas finanças. Segundo o CFA Institute, pertence à subcategoria de Perseverança de Crenças: nos recusamos a atualizar nossas opiniões mesmo quando os dados apontam em outra direção. Não é má-fé — é que o Sistema 1 constrói histórias coerentes, não precisas.
sesgo.confirmation-bias.mechanism	sesgo	Daniel Kahneman explica que el Sistema 1 opera bajo WYSIATI ("What You See Is All There Is"): construye la mejor historia posible con la información disponible, ignorando lo que falta. La disonancia cognitiva hace doloroso enfrentar evidencia contradictoria.	Daniel Kahneman explica que o Sistema 1 opera sob o WYSIATI ("What You See Is All There Is"): constrói a melhor história possível com as informações disponíveis, ignorando o que falta. A dissonância cognitiva torna doloroso enfrentar evidências contraditórias.
sesgo.confirmation-bias.trapQuestion	sesgo	Estás convencido de que Bitcoin va a subir. ¿Qué buscas en Google? A) "Razones por las que Bitcoin subirá" o B) "Riesgos de invertir en Bitcoin hoy". — La mayoría elige A, buscando validar, no cuestionar.	Você está convicto de que o Bitcoin vai subir. O que você busca no Google? A) "Razões pelas quais o Bitcoin vai subir" ou B) "Riscos de investir em Bitcoin hoje". — A maioria escolhe A, buscando validar, não questionar.
sesgo.confirmation-bias.example.0.label	sesgo	Inversión	Investimento
sesgo.confirmation-bias.example.0.text	sesgo	Estás convencido de que Tesla va a subir. Lees solo artículos bullish, ignoras los que cuestionan su valuación. Tu "investigación" es en realidad validación.	Você está convicto de que a Tesla vai subir. Lê apenas artigos otimistas e ignora os que questionam sua avaliação. Sua "pesquisa" é, na verdade, validação.
sesgo.confirmation-bias.example.1.label	sesgo	Decisión personal	Decisão pessoal
sesgo.confirmation-bias.example.1.text	sesgo	Decides que cierta ciudad es perfecta para vivir. Recuerdas las buenas noticias sobre ella y olvidas las malas.	Você decide que determinada cidade é perfeita para morar. Lembra das boas notícias sobre ela e esquece as ruins.
sesgo.confirmation-bias.example.2.label	sesgo	Empresa	Empresa
sesgo.confirmation-bias.example.2.text	sesgo	Un CEO comprometido con una estrategia ignora métricas que la cuestionan y enfatiza las que la apoyan en sus reportes trimestrales.	Um CEO comprometido com uma estratégia ignora métricas que a questionam e enfatiza as que a apoiam em seus relatórios trimestrais.
sesgo.confirmation-bias.antidote.0	sesgo	Practica el "empirismo negativo": intenta demostrar que tu idea es FALSA, no que es verdadera.	Pratique o "empirismo negativo": tente provar que sua ideia é FALSA, não que é verdadeira.
sesgo.confirmation-bias.antidote.1	sesgo	Steel-manning: construye el mejor argumento posible contra tu tesis antes de actuar.	Steel-manning: construa o melhor argumento possível contra a sua tese antes de agir.
sesgo.confirmation-bias.antidote.2	sesgo	Busca activamente artículos, analistas y datos que contradigan tu posición.	Busque ativamente artigos, analistas e dados que contradigam sua posição.
sesgo.confirmation-bias.antidote.3	sesgo	Antes de cualquier inversión, escribe explícitamente: ¿qué tendría que pasar para que esté equivocado?	Antes de qualquer investimento, escreva explicitamente: o que precisaria acontecer para que eu esteja errado?
sesgo.confirmation-bias.question.0.situation	sesgo	Estás convencido de que una acción va a subir. ¿Qué buscas en Google?	Você está convicto de que uma ação vai subir. O que você busca no Google?
sesgo.confirmation-bias.question.0.option.0.text	sesgo	Razones por las que la acción subirá	Razões pelas quais a ação vai subir
sesgo.confirmation-bias.question.0.option.0.reveal	sesgo	Sesgo: estás buscando validar, no investigar	Viés: você está procurando validar, não investigar
sesgo.confirmation-bias.question.0.option.1.text	sesgo	Riesgos y argumentos en contra de esa inversión	Riscos e argumentos contra esse investimento
sesgo.confirmation-bias.question.0.option.1.reveal	sesgo	Racional: primero busca la hipótesis nula — por qué podrías estar equivocado	Racional: primeiro busque a hipótese nula — por que você pode estar errado
